TypeNamespacePrefix,TypeName,QualifiedType,ContentStyle,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,Definition,SimpleTypeNamespacePrefix,SimpleTypeName,SimpleQualifiedType,ParentTypeNamespacePrefix,ParentTypeName,ParentQualifiedType
j,AssignmentAssessmentDecisionType,j:AssignmentAssessmentDecisionType,CCC,FALSE,FALSE,FALSE,,,,A data type for a decision regarding assignment after completion of the assessment.,,,,nc,ActivityType,nc:ActivityType
j,AssignmentAssessmentType,j:AssignmentAssessmentType,CCC,FALSE,FALSE,FALSE,,,,A data type for a process of determining whether a subject is fit for a particular assignment (program or service).,,,,,,
ndex,AssignmentCategoryCodeSimpleType,ndex:AssignmentCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code that identifies a subject's assignment category.,ndex,AssignmentCategoryCodeType,ndex:AssignmentCategoryCodeType,,,
ndex,AssignmentCategoryCodeType,ndex:AssignmentCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that identifies a subject's assignment category.,,,,,,
j,AssignmentLocationDetailType,j:AssignmentLocationDetailType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a specific location into which a person is placed, such as an office, dormitory, barracks, etc.",,,,,,
j,AssignmentType,j:AssignmentType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a location and environment into which a person is placed, such as an office, dormitory, barracks, etc.",,,,nc,ActivityType,nc:ActivityType
biom,AssociatedContextType,biom:AssociatedContextType,CCC,FALSE,FALSE,FALSE,,,,A data type for a reference to an associated context,,,,,,
cyfs,AssociatedPersonChildAssociationType,cyfs:AssociatedPersonChildAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between a person and the child.,,,,nc,AssociationType,nc:AssociationType
nc,AssociationType,nc:AssociationType,CCC,FALSE,FALSE,FALSE,,,,"A data type for an association, connection, relationship, or involvement somehow linking people, things, and/or activities together.",,,,,,
structures,AssociationType,structures:AssociationType,CCC,FALSE,FALSE,FALSE,,,,,,,,,,
biom,AssuranceLogEntryType,biom:AssuranceLogEntryType,CCC,FALSE,FALSE,FALSE,,,,A data type for an information assurance log entry,,,,,,
biom,AssuranceLogEventCodeSimpleType,biom:AssuranceLogEventCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for an information assurance log event code,biom,AssuranceLogEventCodeType,biom:AssuranceLogEventCodeType,,,
biom,AssuranceLogEventCodeType,biom:AssuranceLogEventCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for an information assurance log event code,,,,,,
mmucc,AtmosphericConditionCodeSimpleType,mmucc:AtmosphericConditionCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for the prevailing atmospheric conditions that existed at the time of the crash.,mmucc,CrashWeatherConditionCodeType,mmucc:CrashWeatherConditionCodeType,,,
cyfs,AttorneyStatusCodeSimpleType,cyfs:AttorneyStatusCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for describing the role of an attorney as it relates to their client.,cyfs,AttorneyStatusCodeType,cyfs:AttorneyStatusCodeType,,,
cyfs,AttorneyStatusCodeType,cyfs:AttorneyStatusCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code list describing the role of an attorney as it relates to their client.,,,,,,
biom,AudioCaptureDeviceCodeSimpleType,biom:AudioCaptureDeviceCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a description of an audio segment channel capture device.,biom,AudioCaptureDeviceCodeType,biom:AudioCaptureDeviceCodeType,,,
biom,AudioCaptureDeviceCodeType,biom:AudioCaptureDeviceCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a description of an audio segment channel capture device.,,,,,,
cbrn,AudioFileType,cbrn:AudioFileType,CCC,FALSE,FALSE,FALSE,,,,A data type to capture the Audio data file type,,,,cbrn,DataFileType,cbrn:DataFileType
biom,AudioInformationType,biom:AudioInformationType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a description of specific time segments within a voice recording, and their processing.",,,,,,
biom,AudioObjectDescriptorCodeSimpleType,biom:AudioObjectDescriptorCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for an enumeration of codes describing Audio Objects,biom,AudioObjectDescriptorCodeType,biom:AudioObjectDescriptorCodeType,,,
biom,AudioObjectDescriptorCodeType,biom:AudioObjectDescriptorCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a representation of codes describing an Audio Object,,,,,,
biom,AudioSourceRecorderType,biom:AudioSourceRecorderType,CCC,FALSE,FALSE,FALSE,,,,A data type for a set of information regarding the captured voice information,,,,,,
cyfs,AbuseNeglectInjuryType,cyfs:AbuseNeglectInjuryType,CCC,FALSE,FALSE,FALSE,,,,A data type for an applied augmentation for type nc:InjuryType,,,,nc,InjuryType,nc:InjuryType
cyfs,AbuseNeglectSeverityCodeSimpleType,cyfs:AbuseNeglectSeverityCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for describing different severity levels of abuse.,cyfs,AbuseNeglectSeverityCodeType,cyfs:AbuseNeglectSeverityCodeType,,,
cyfs,AbuseNeglectSeverityCodeType,cyfs:AbuseNeglectSeverityCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for describing different severity levels of abuse.,,,,,,
j,AcademicAssessmentType,j:AcademicAssessmentType,CCC,FALSE,FALSE,FALSE,,,,A data type for an institution or agency assessment process for determining academic needs of a subject.,,,,nc,AssessmentType,nc:AssessmentType
j,AcademicRecordType,j:AcademicRecordType,CCC,FALSE,FALSE,FALSE,,,,A data type for a record of academic achievement for a subject.,,,,,,
j,AcademicSubjectMatterType,j:AcademicSubjectMatterType,CCC,FALSE,FALSE,FALSE,,,,A data type for a specific course content related to core education and academic assessments and programs.,,,,,,
em,AccessType,em:AccessType,CCC,FALSE,FALSE,FALSE,,,,A data type for a credential class that describes the access rights,,,,,,
aamva_d20,AccidentSeverityCodeSimpleType,aamva_d20:AccidentSeverityCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for severity levels of an accident.,aamva_d20,AccidentSeverityCodeType,aamva_d20:AccidentSeverityCodeType,,,
aamva_d20,AccidentSeverityCodeType,aamva_d20:AccidentSeverityCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for severity levels of an accident.,,,,,,
cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,CCC,FALSE,FALSE,FALSE,,,,A data type for information regarding an acknowledgement.,,,,,,
cbrn,AcknowledgingAgencyType,cbrn:AcknowledgingAgencyType,CCC,FALSE,FALSE,FALSE,,,,A data type for an Organization that is responsible for generating an acknowledgement message.,,,,,,
biom,AcquisitionSourceCodeSimpleType,biom:AcquisitionSourceCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a source acquisition code,biom,AcquisitionSourceCodeType,biom:AcquisitionSourceCodeType,,,
biom,AcquisitionSourceCodeType,biom:AcquisitionSourceCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a source acquisition code,,,,,,
biom,AcquisitionSourceType,biom:AcquisitionSourceType,CCC,FALSE,FALSE,FALSE,,,,A data type for a source of an item,,,,,,
cyfs,ActionRequestedCodeSimpleType,cyfs:ActionRequestedCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for the actions being requested of the court based on the types of services needed by the child.,cyfs,ActionRequestedCodeType,cyfs:ActionRequestedCodeType,,,
cyfs,ActionRequestedCodeType,cyfs:ActionRequestedCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the actions being requested of the court based on the types of services needed by the child.,,,,,,
j,ActivityArrestAssociationType,j:ActivityArrestAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and an arrest.,,,,nc,AssociationType,nc:AssociationType
j,ActivityAugmentationType,j:ActivityAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about an activity.,,,,,,
j,ActivityCaseAssociationType,j:ActivityCaseAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a case.,,,,nc,AssociationType,nc:AssociationType
j,ActivityChargeAssociationType,j:ActivityChargeAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a charge.,,,,nc,AssociationType,nc:AssociationType
j,ActivityCommunityServiceAssociationType,j:ActivityCommunityServiceAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and an assignment of community service.,,,,nc,AssociationType,nc:AssociationType
j,ActivityContactInformationAssociationType,j:ActivityContactInformationAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and contact information for that activity.,,,,nc,AssociationType,nc:AssociationType
nc,ActivityConveyanceAssociationType,nc:ActivityConveyanceAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a conveyance.,,,,nc,AssociationType,nc:AssociationType
j,ActivityCounselingAssociationType,j:ActivityCounselingAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and counseling.,,,,nc,AssociationType,nc:AssociationType
j,ActivityCourtAssociationType,j:ActivityCourtAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a court.,,,,nc,AssociationType,nc:AssociationType
j,ActivityCourtOrderAssociationType,j:ActivityCourtOrderAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a court order.,,,,nc,AssociationType,nc:AssociationType
j,ActivityCriminalOrganizationAssociationType,j:ActivityCriminalOrganizationAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a criminal organization.,,,,nc,AssociationType,nc:AssociationType
j,ActivityCustodyTransferAssociationType,j:ActivityCustodyTransferAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and transfer of custody.,,,,nc,AssociationType,nc:AssociationType
nc,ActivityDocumentAssociationType,nc:ActivityDocumentAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a document.,,,,nc,AssociationType,nc:AssociationType
j,ActivityDriverLicenseAssociationType,j:ActivityDriverLicenseAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a driver license.,,,,nc,AssociationType,nc:AssociationType
j,ActivityEmailAddressAssociationType,j:ActivityEmailAddressAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between an activity and an email address (e.g. harassing or threatening email).,,,,nc,AssociationType,nc:AssociationType
j,ActivityEmployeeAssociationType,j:ActivityEmployeeAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and an employee.,,,,nc,AssociationType,nc:AssociationType
j,ActivityEvidenceAssociationType,j:ActivityEvidenceAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and evidence.,,,,nc,AssociationType,nc:AssociationType
nc,ActivityFacilityAssociationType,nc:ActivityFacilityAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a facility.,,,,nc,AssociationType,nc:AssociationType
j,ActivityFeeAssociationType,j:ActivityFeeAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a fee.,,,,nc,AssociationType,nc:AssociationType
j,ActivityForceAssociationType,j:ActivityForceAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a use of force.,,,,nc,AssociationType,nc:AssociationType
j,ActivityIncidentAssociationType,j:ActivityIncidentAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and an incident.,,,,nc,AssociationType,nc:AssociationType
j,ActivityInstantMessengerAssociationType,j:ActivityInstantMessengerAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between an activity and an other contact address.,,,,nc,AssociationType,nc:AssociationType
cyfs,ActivityInvolvedPersonAssociationAugmentationType,cyfs:ActivityInvolvedPersonAssociationAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about an activity and a person involved in that activity.,,,,,,
nc,ActivityItemAssociationType,nc:ActivityItemAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and an item.,,,,nc,AssociationType,nc:AssociationType
j,ActivityJudgeAssociationType,j:ActivityJudgeAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a judge.,,,,nc,AssociationType,nc:AssociationType
j,ActivityJurisdictionAssociationType,j:ActivityJurisdictionAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a jurisdiction.,,,,nc,AssociationType,nc:AssociationType
j,ActivityLocationAssociationType,j:ActivityLocationAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a location.,,,,nc,AssociationType,nc:AssociationType
j,ActivityNetworkAddressAssociationType,j:ActivityNetworkAddressAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between an activity and a network address.,,,,nc,AssociationType,nc:AssociationType
j,ActivityObligationAssociationType,j:ActivityObligationAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and an obligation.,,,,nc,AssociationType,nc:AssociationType
nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and an organization.,,,,nc,AssociationType,nc:AssociationType
nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a person.,,,,nc,AssociationType,nc:AssociationType
scr,ActivityProcessCategoryCodeSimpleType,scr:ActivityProcessCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of activity process.,scr,ActivityProcessCategoryCodeType,scr:ActivityProcessCategoryCodeType,,,
scr,ActivityProcessCategoryCodeType,scr:ActivityProcessCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of activity process.,,,,,,
scr,ActivityProcessClassificationType,scr:ActivityProcessClassificationType,CCC,FALSE,FALSE,FALSE,,,,A data type describing a kind of Screening activity process.,,,,,,
j,ActivityProgramAssociationType,j:ActivityProgramAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a program.,,,,nc,AssociationType,nc:AssociationType
j,ActivityReferralAssociationType,j:ActivityReferralAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a referral.,,,,nc,AssociationType,nc:AssociationType
j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a release.,,,,nc,AssociationType,nc:AssociationType
scr,ActivityRequestCategoryCodeSimpleType,scr:ActivityRequestCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of activity request.,scr,ActivityRequestCategoryCodeType,scr:ActivityRequestCategoryCodeType,,,
scr,ActivityRequestCategoryCodeType,scr:ActivityRequestCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of activity request.,,,,,,
scr,ActivityRequestClassificationType,scr:ActivityRequestClassificationType,CCC,FALSE,FALSE,FALSE,,,,A data type describing a classification of Screening activity request.,,,,,,
scr,ActivityResponseCategoryCodeSimpleType,scr:ActivityResponseCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of activity response.,scr,ActivityResponseCategoryCodeType,scr:ActivityResponseCategoryCodeType,,,
scr,ActivityResponseCategoryCodeType,scr:ActivityResponseCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of activity response.,,,,,,
scr,ActivityResponseClassificationType,scr:ActivityResponseClassificationType,CCC,FALSE,FALSE,FALSE,,,,A data type describing a classification of Screening activity response.,,,,,,
scr,ActivityResultsCategoryCodeSimpleType,scr:ActivityResultsCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of activity results.,scr,ActivityResultsCategoryCodeType,scr:ActivityResultsCategoryCodeType,,,
scr,ActivityResultsCategoryCodeType,scr:ActivityResultsCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of activity results.,,,,,,
scr,ActivityResultsClassificationType,scr:ActivityResultsClassificationType,CCC,FALSE,FALSE,FALSE,,,,A data type describing a classification of Screening activity results.,,,,,,
j,ActivitySanctionAssociationType,j:ActivitySanctionAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a sanction.,,,,nc,AssociationType,nc:AssociationType
nc,ActivityScheduleAssociationType,nc:ActivityScheduleAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and its schedule.,,,,nc,AssociationType,nc:AssociationType
j,ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between an activity and a sentence computation.,,,,nc,AssociationType,nc:AssociationType
j,ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a service call.,,,,nc,AssociationType,nc:AssociationType
nc,ActivitySiteAssociationType,nc:ActivitySiteAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a site.,,,,nc,AssociationType,nc:AssociationType
j,ActivitySubjectAssociationType,j:ActivitySubjectAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a subject.,,,,nc,AssociationType,nc:AssociationType
j,ActivityTelephoneNumberAssociationType,j:ActivityTelephoneNumberAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between an activity and a telephone number.,,,,nc,AssociationType,nc:AssociationType
nc,ActivityType,nc:ActivityType,CCC,FALSE,FALSE,FALSE,process,,An activity can be made up of multiple events.,"A data type for a single or set of related actions, events, or process steps.",,,,,,
j,ActivityUnitAssociationType,j:ActivityUnitAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a unit.,,,,nc,AssociationType,nc:AssociationType
j,ActivityVictimAssociationType,j:ActivityVictimAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a victim.,,,,nc,AssociationType,nc:AssociationType
j,ActivityWarrantAssociationType,j:ActivityWarrantAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a warrant.,,,,nc,AssociationType,nc:AssociationType
j,ActivityWitnessAssociationType,j:ActivityWitnessAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between an activity and a witness.,,,,nc,AssociationType,nc:AssociationType
it,AdditionalDocumentType,it:AdditionalDocumentType,CCC,FALSE,FALSE,FALSE,,,,A data type for an applied augmentation for type nc:DocumentType,,,,nc,DocumentType,nc:DocumentType
it,AdditionalInformationType,it:AdditionalInformationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an applied augmentation for type nc:DocumentType,,,,nc,DocumentType,nc:DocumentType
it,AddressAugmentationType,it:AddressAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about an address.,,,,,,
j,AddressAugmentationType,j:AddressAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about a Address.,,,,,,
scr,AddressAugmentationType,scr:AddressAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about an address.,,,,,,
hs,AddressCategoryCodeListCodeSimpleType,hs:AddressCategoryCodeListCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a kind of address.,hs,AddressCategoryCodeListCodeType,hs:AddressCategoryCodeListCodeType,,,
hs,AddressCategoryCodeListCodeType,hs:AddressCategoryCodeListCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a kind of address.,,,,,,
scr,AddressCategoryCodeSimpleType,scr:AddressCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type describing the kinds of Address types,scr,AddressCategoryCodeType,scr:AddressCategoryCodeType,,,
scr,AddressCategoryCodeType,scr:AddressCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type describing the kinds of Address types,,,,,,
scr,AddressClassificationType,scr:AddressClassificationType,CCC,FALSE,FALSE,FALSE,,,,A data type for classification of an ADDRESS,,,,,,
nc,AddressGridType,nc:AddressGridType,CCC,FALSE,FALSE,FALSE,,,"May be used to denote the area of jurisdiction of an agency, such as a law enforcement or emergency response agency.",A data type for a location identified by a unit of a grid system overlaid on an area.,,,,,,
nc,AddressType,nc:AddressType,CCC,FALSE,FALSE,FALSE,,,,A data type for a geophysical location described by postal information.,,,,,,
cyfs,AdoptingParentRelationshipCategoryCodeSimpleType,cyfs:AdoptingParentRelationshipCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for describing the relationship of an adopting parent.,cyfs,AdoptingParentRelationshipCategoryCodeType,cyfs:AdoptingParentRelationshipCategoryCodeType,,,
cyfs,AdoptingParentRelationshipCategoryCodeType,cyfs:AdoptingParentRelationshipCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for describing the relationship of an adopting parent.,,,,,,
cyfs,AdoptiveFamilyAssociationType,cyfs:AdoptiveFamilyAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between family members in an adoptive family.,,,,nc,AssociationType,nc:AssociationType
cyfs,AdoptiveParentChildAssociationType,cyfs:AdoptiveParentChildAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between a child and a parent who adopted the child.,,,,cyfs,ParentChildAssociationType,cyfs:ParentChildAssociationType
cyfs,AFCARSPermanencyGoalCodeSimpleType,cyfs:AFCARSPermanencyGoalCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for a list of case plan goals for permanency defined for the Adoption and Foster Care Analysis Reporting System in 45 CFR 1355, Appendix A, roman numeral VI.",cyfs,AFCARSPermanencyGoalCodeType,cyfs:AFCARSPermanencyGoalCodeType,,,
cyfs,AFCARSPermanencyGoalCodeType,cyfs:AFCARSPermanencyGoalCodeType,CSC,FALSE,FALSE,FALSE,,,,"A data type for a list of case plan goals for permanency defined for the Adoption and Foster Care Analysis Reporting System in 45 CFR 1355, Appendix A, roman numeral VI.",,,,,,
j,AftercareServicesScreeningType,j:AftercareServicesScreeningType,CCC,FALSE,FALSE,FALSE,,,,A data type for an evaluation of a parolee to determine the appropriate mental health services to be provided.,,,,nc,ActivityType,nc:ActivityType
j,AftercareType,j:AftercareType,CCC,FALSE,FALSE,FALSE,,,,A data type for a type of service(s) specific to subjects after incarceration.,,,,,,
nlets,AgencyAuthorizationCodeSimpleType,nlets:AgencyAuthorizationCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for an agency's access category to data.,nlets,AgencyAuthorizationCodeType,nlets:AgencyAuthorizationCodeType,,,
nlets,AgencyAuthorizationCodeType,nlets:AgencyAuthorizationCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for an agency's access category to data.,,,,,,
intel,AgencyInterestCategoryType,intel:AgencyInterestCategoryType,CCC,FALSE,FALSE,FALSE,,,,A data type for a groupings of persons by the reason they are of interest to intelligence.,,,,,,
intel,AgencyInterestOtherCategoryType,intel:AgencyInterestOtherCategoryType,CCC,FALSE,FALSE,FALSE,,,,A data type for a details that describe an additional person-categorization system that groups of people by the reason they are of interest to intelligence.,,,,,,
nlets,AgencyServiceHoursCodeSimpleType,nlets:AgencyServiceHoursCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for the availability of an agency.,nlets,AgencyServiceHoursCodeType,nlets:AgencyServiceHoursCodeType,,,
nlets,AgencyServiceHoursCodeType,nlets:AgencyServiceHoursCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the availability of an agency.,,,,,,
intel,AgencySubjectHandlingType,intel:AgencySubjectHandlingType,CCC,FALSE,FALSE,FALSE,,,,A data type for actions to take on contact with the person.,,,,,,
intel,AgencySubjectInterestType,intel:AgencySubjectInterestType,CCC,FALSE,FALSE,FALSE,,,,A data type for a detailed description of why an agency placed the person in its repository or why the data on the person is being exchanged.,,,,,,
scr,AgentAssociationType,scr:AgentAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between a Person and a Person Role,,,,nc,AssociationType,nc:AssociationType
it,AgentType,it:AgentType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a party authorized to act on behalf of another person, organization or thing.",,,,,,
ndex,AggravatedAssaultCircumstanceNDExCodeSimpleType,ndex:AggravatedAssaultCircumstanceNDExCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for a code that describes the circumstances of either an aggravated assault or homicide. Includes all NIBRS codes, plus additional codes.",ndex,AggravatedAssaultCircumstanceNDExCodeType,ndex:AggravatedAssaultCircumstanceNDExCodeType,,,
ndex,AggravatedAssaultCircumstanceNDExCodeType,ndex:AggravatedAssaultCircumstanceNDExCodeType,CSC,FALSE,FALSE,FALSE,,,,"A data type for a code that describes the circumstances of either an aggravated assault or homicide. Includes all NIBRS codes, plus additional codes.",,,,,,
ucr,AggravatedAssaultHomicideFactorsCodeSimpleType,ucr:AggravatedAssaultHomicideFactorsCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for circumstances of either an aggravated assault or homicide.,ucr,AggravatedAssaultHomicideFactorsCodeType,ucr:AggravatedAssaultHomicideFactorsCodeType,,,
ucr,AggravatedAssaultHomicideFactorsCodeType,ucr:AggravatedAssaultHomicideFactorsCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for circumstances of either an aggravated assault or homicide.,,,,,,
mo,AimpointType,mo:AimpointType,CCC,FALSE,FALSE,FALSE,,,,A data type for a point associated with a target and assigned for a specific weapon impact.,,,,,,
